Statistic,University League Table 2018
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score
1,Cambridge,592,4.14,3.33,0.95,87.8,11.0,2604,859,92.1,98.9,1000
2,Oxford,570,4.13,3.34,0.87,83.7,10.3,2608,605,92.8,98.3,998
3,St Andrews,525,4.38,3.13,0.82,83.3,11.6,2034,582,91.1,96.4,962
4,London School of Economics,537,3.75,3.35,0.85,84.4,11.4,2254,602,86.1,95.4,952
5,Imperial College London,552,3.99,3.36,0.92,90.3,11.3,2425,790,88.6,96.1,925
6,Durham,519,4.16,3.14,0.79,83.2,14.5,1615,1026,89.5,95.9,920
7,University College London,501,3.97,3.22,0.91,87.2,10.4,2345,277,88.8,94.7,909
8,Warwick,478,4.12,3.22,0.83,80.3,12.9,1765,706,83.4,95.1,896
9,Lancaster,402,4.17,3.15,0.77,82.6,13.0,1917,943,77.5,92.6,889
10,Loughborough,400,4.18,2.95,0.88,85.1,14.2,1550,1056,80.7,93.4,883
11,Bath,479,4.16,3.17,0.74,84.9,15.7,1703,468,85.9,94.8,868
12,East Anglia (UEA),407,4.16,3.11,0.75,73.9,13.2,1646,1160,86.4,89.6,853
13,Surrey,438,4.20,2.98,0.73,81.0,15.4,1781,751,83.6,90.7,851
14,Exeter,471,4.20,3.08,0.82,80.1,16.5,1614,729,85.1,95.6,850
14,Leeds,427,4.15,3.13,0.75,81.3,13.2,2185,567,84.2,92.6,850
16,Birmingham,421,4.09,3.07,0.81,85.4,14.1,1929,568,84.9,94.4,836
17,Bristol,485,4.05,3.18,0.91,78.9,13.4,1490,482,87.0,95.9,834
18,Nottingham,425,4.12,3.09,0.79,82.6,13.8,1605,642,83.1,94.0,825
19,Sussex,366,4.09,3.01,0.73,85.9,16.3,1658,856,78.5,92.7,818
20,York,422,4.20,3.17,0.75,76.9,14.5,1473,554,81.2,92.2,814
21,King's College London,432,3.91,3.23,0.80,87.7,12.0,1594,568,85.8,93.7,811
22,Manchester,431,4.02,3.16,0.78,82.1,13.3,1748,650,78.4,93.1,808
23,Edinburgh,483,3.85,3.18,0.83,72.7,12.5,1401,642,86.8,92.5,805
23,Newcastle,423,4.15,3.09,0.80,82.5,14.6,1466,466,81.0,94.0,805
25,Kent,353,4.13,2.95,0.85,80.5,13.3,1092,573,79.6,90.4,803
26,Southampton,390,4.06,3.15,0.90,78.4,13.2,1588,469,78.5,91.2,792
27,Reading,367,4.08,3.03,0.83,73.5,14.4,1641,509,81.2,91.5,791
