"","","Rank","Rank","University Name","Entry Standards
                            
                            
                                Entry Standards
                                The average UCAS tariff score of new students entering the University. These tables use the old UCAS tariff.
                                Read more","Student Satisfaction
                            
                            
                                Student Satisfaction
                                A guide to how satisfied students are with the quality of teaching they receive.
                                    Maximum score: 5.00
                                Read more","Research Quality
                            
                            
                                Research Quality
                                A measure of the quality of the research undertaken in the University.
                                    Maximum score: 4.00
                                Read more","Research Intensity
                            
                            
                                Research Intensity
                                A measure of the proportion of staff involved in high-quality research in the University.
                                    Maximum score: 1.00
                                Read more","Graduate Prospects
                            
                            
                                Graduate Prospects
                                A guide to the employability of graduates on completion of their courses at the University.
                                    Maximum score: 100.0
                                Read more","Student-Staff Ratio
                            
                            
                                Student-Staff Ratio
                                The average staffing levels at the University.
                                Read more","Academic Services Spend
                            
                            
                                Academic Services Spend
                                A guide to how much the University spends on supporting services such as libraries and IT.
                                Read more","Facilities Spend
                            
                            
                                Facilities Spend
                                A guide to how much the University spends on supporting facilities such as the careers service, health and counselling services and sport facilities.
                                Read more","Good Honours
                            
                            
                                Good Honours
                                The percentage of graduates achieving a first or upper second class honours degree – the class of degree achieved can impact a graduate’s employment prospects.
                                    Maximum score: 100.0
                                Read more","Degree Completion
                            
                            
                                Degree Completion
                                The proportion of students expected to successfully complete their studies and gain a degree from the University.
                                    Maximum score: 100.0
                                Read more","Overall Score
                            
                            
                                Overall Score
                                The total score calculated by our independent and trusted methodology, comprising entry standards, student satisfaction, research assessment (quality and intensity), graduate prospects, student–staff ratio, academic services spend, facilities spend, good honours, and degree completion.
                                    Maximum score: 1000
                                Read more","Next Steps"
"1","","1st","0","Cambridge","600","4.17","3.33","0.95","89.0","11.0","2,628","800","91.0","98.6","1000","Profile
                                    Courses"
"2","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"3","","2nd","0","Oxford","574","4.17","3.34","0.87","86.7","10.5","2,700","509","92.4","97.7","998","Profile
                                    Courses"
"4","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"5","","3rd","0","London School of Economics","518","3.89","3.35","0.85","78.5","11.6","2,105","553","86.6","97.6","940","Profile
                                    Courses"
"6","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"7","","4th","0","Imperial College London","567","4.15","3.36","0.92","90.8","11.1","2,309","722","86.5","96.4","938","Profile
                                    Courses"
"8","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"9","","5th","0","St Andrews","520","4.23","3.13","0.82","83.2","11.6","2,015","496","90.7","95.5","927","Profile
                                    Courses"
"10","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
